Lesson	Type	No	Name	Sentences_Kor	Sentences_Phon	Sentences_Viet	FileAudio	FileImage
Lesson1	Vocabulary	1.5.tip	Def			[MẸO] "독일" phiên âm từ "Deutsch" — nghe "đọc-il" tưởng tượng người Đức đang đọc sách!		
Lesson1	Vocabulary	1.6	Exam	프랑스	Phư-rang-sư	Pháp	https://luandai123.github.io/Korean_Beginner/L1Vo1.6.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.6.png
Lesson1	Vocabulary	1.6.ex	Exam	줄리앙은 프랑스 사람이에요.	Chul-li-ang-ưn phư-rang-sư sa-ra-mi-ê-yô.	Julien là người Pháp.	https://luandai123.github.io/Korean_Beginner/L1Vo1.6.ex.mp3	
Lesson1	Vocabulary	1.6.tip	Def			[MẸO] "프랑스" nghe như "France" đọc kiểu Hàn → phư-rang-sư. Nhắm mắt đọc "France" là ra!		
Lesson1	Vocabulary	1.7	Exam	영국	Yông-guk	Anh	https://luandai123.github.io/Korean_Beginner/L1Vo1.7.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.7.png
Lesson1	Vocabulary	1.7.ex	Exam	마이클은 영국 사람이에요.	Ma-i-khưl-ưn yông-guk sa-ra-mi-ê-yô.	Michael là người Anh.	https://luandai123.github.io/Korean_Beginner/L1Vo1.7.ex.mp3	
Lesson1	Vocabulary	1.7.tip	Def			[MẸO] "영(英)" = Anh (Hán-Việt) + "국(國)" = quốc → Anh Quốc. Dễ nhớ!		
Lesson1	Vocabulary	1.8	Exam	호주	Ho-chu	Úc	https://luandai123.github.io/Korean_Beginner/L1Vo1.8.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.8.png
Lesson1	Vocabulary	1.8.ex	Exam	켈리는 호주 사람이에요.	Khêl-li-nưn ho-chu sa-ra-mi-ê-yô.	Kelly là người Úc.	https://luandai123.github.io/Korean_Beginner/L1Vo1.8.ex.mp3	
Lesson1	Vocabulary	1.8.tip	Def			[MẸO] "호주(濠州)" = Hào Châu (Hán-Việt cũ cho Australia). Nhớ "Hào" → "Úc"!		
Lesson1	Vocabulary	2	Struc	Nghề nghiệp (직업)				
Lesson1	Vocabulary	2.1	Exam	선생님	Sơn-seng-nim	Giáo viên	https://luandai123.github.io/Korean_Beginner/L1Vo2.1.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.1.png
Lesson1	Vocabulary	2.1.ex	Exam	저는 선생님이에요.	Chơ-nưn sơn-seng-nim-i-ê-yô.	Tôi là giáo viên.	https://luandai123.github.io/Korean_Beginner/L1Vo2.1.ex.mp3	
Lesson1	Vocabulary	2.1.tip	Def			[MẸO] "선생(先生)" = tiên sinh (người đi trước) + "님" = kính trọng → thầy/cô giáo!		
Lesson1	Vocabulary	2.2	Exam	학생	Hak-seng	Học sinh	https://luandai123.github.io/Korean_Beginner/L1Vo2.2.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.2.png
Lesson1	Vocabulary	2.2.ex	Exam	저는 학생이에요.	Chơ-nưn hak-seng-i-ê-yô.	Tôi là học sinh.	https://luandai123.github.io/Korean_Beginner/L1Vo2.2.ex.mp3	
Lesson1	Vocabulary	2.2.tip	Def			[MẸO] "학생(學生)" = học sinh (Hán-Việt). Đọc là nhớ ngay!		
Lesson1	Vocabulary	2.3	Exam	의사	Ưi-sa	Bác sĩ	https://luandai123.github.io/Korean_Beginner/L1Vo2.3.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.3.png
Lesson1	Vocabulary	2.3.ex	Exam	마리아는 의사예요.	Ma-ri-a-nưn ưi-sa-yê-yô.	Maria là bác sĩ.	https://luandai123.github.io/Korean_Beginner/L1Vo2.3.ex.mp3	
Lesson1	Vocabulary	2.3.tip	Def			[MẸO] "의사(醫師)" = y sư (Hán-Việt) → bác sĩ. "Y sư" = thầy thuốc!		
Lesson1	Vocabulary	2.4	Exam	회사원	Hôi-sa-uôn	Nhân viên công ty	https://luandai123.github.io/Korean_Beginner/L1Vo2.4.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.4.png
Lesson1	Vocabulary	2.4.ex	Exam	아키라는 회사원이에요.	A-khi-ra-nưn hôi-sa-uôn-i-ê-yô.	Akira là nhân viên công ty.	https://luandai123.github.io/Korean_Beginner/L1Vo2.4.ex.mp3	
Lesson1	Vocabulary	2.4.tip	Def			[MẸO] "회사(會社)" = hội xã + "원(員)" = viên → hội xã viên = nhân viên công ty!		
Lesson1	Vocabulary	2.5	Exam	기자	Ki-cha	Phóng viên / Nhà báo	https://luandai123.github.io/Korean_Beginner/L1Vo2.5.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.5.png
Lesson1	Vocabulary	2.5.ex	Exam	마이클은 기자예요.	Ma-i-khưl-ưn ki-cha-yê-yô.	Michael là phóng viên.	https://luandai123.github.io/Korean_Beginner/L1Vo2.5.ex.mp3	
Lesson1	Vocabulary	2.5.tip	Def			[MẸO] "기자(記者)" = ký giả (Hán-Việt) → phóng viên. "Ký giả" = nhà báo!		
Lesson1	Vocabulary	2.6	Exam	요리사	Yo-ri-sa	Đầu bếp	https://luandai123.github.io/Korean_Beginner/L1Vo2.6.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.6.png
Lesson1	Vocabulary	2.6.ex	Exam	저는 요리사예요.	Chơ-nưn yo-ri-sa-yê-yô.	Tôi là đầu bếp.	https://luandai123.github.io/Korean_Beginner/L1Vo2.6.ex.mp3	
Lesson1	Vocabulary	2.6.tip	Def			[MẸO] "요리(料理)" = liệu lý (nấu ăn) + "사(師)" = sư → thầy nấu ăn = đầu bếp!		
Lesson1	Vocabulary	2.7	Exam	가수	Ka-su	Ca sĩ	https://luandai123.github.io/Korean_Beginner/L1Vo2.7.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.7.png
Lesson1	Vocabulary	2.7.ex	Exam	저는 가수예요.	Chơ-nưn ka-su-yê-yô.	Tôi là ca sĩ.	https://luandai123.github.io/Korean_Beginner/L1Vo2.7.ex.mp3	
Lesson1	Vocabulary	2.7.tip	Def			[MẸO] "가수(歌手)" = ca thủ (Hán-Việt) → ca sĩ. Ca thủ = người hát!		
Lesson1	Vocabulary	2.8	Exam	군인	Kun-in	Quân nhân	https://luandai123.github.io/Korean_Beginner/L1Vo2.8.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.8.png
Lesson1	Vocabulary	2.8.ex	Exam	오빠는 군인이에요.	O-ppa-nưn kun-in-i-ê-yô.	Anh trai là quân nhân.	https://luandai123.github.io/Korean_Beginner/L1Vo2.8.ex.mp3	
Lesson1	Vocabulary	2.8.tip	Def			[MẸO] "군인(軍人)" = quân nhân (Hán-Việt). Y hệt tiếng Việt, nhớ ngay!		
Lesson1	Grammar	1	Struc	인사말 (Lời chào hỏi)				
Lesson1	Grammar	1	Def			Các câu chào hỏi cơ bản trong tiếng Hàn: chào gặp mặt, chào khi gặp lần đầu, chào tạm biệt.		
Lesson1	Grammar	1	Form			안녕하세요? (chào lịch sự) | 만나서 반가워요 (vui được gặp - thân mật) | 안녕히 계세요 (người ở lại nói) | 안녕히 가세요 (người ra đi nói)		
Lesson1	Grammar	1	Usa			안녕하세요? dùng cả ngày, mọi đối tượng. Tạm biệt có 2 chiều: người ở lại nói 계세요 (ở lại nhé), người đi nói 가세요 (đi nhé).		
Lesson1	Grammar	1.1	Exam	안녕하세요?	An-nyơng-ha-sê-yô?	Xin chào! (chào lịch sự, mọi thời điểm)	https://luandai123.github.io/Korean_Beginner/L1Gr1.1.mp3	
Lesson1	Grammar	1.2	Exam	만나서 반가워요.	Man-na-sơ ban-ga-uô-yô.	Rất vui được gặp bạn.	https://luandai123.github.io/Korean_Beginner/L1Gr1.2.mp3	
Lesson1	Grammar	1.3	Exam	안녕히 계세요.	An-nyơng-hi kyê-sê-yô.	Tạm biệt. (người ở lại nói với người ra đi)	https://luandai123.github.io/Korean_Beginner/L1Gr1.3.mp3	
Lesson1	Grammar	1.4	Exam	안녕히 가세요.	An-nyơng-hi ka-sê-yô.	Tạm biệt. (người ra đi nói với người ở lại)	https://luandai123.github.io/Korean_Beginner/L1Gr1.4.mp3	
Lesson1	Grammar	2	Struc	N은/는 N이에요/예요 (N là N)				
Lesson1	Grammar	2	Def			Cấu trúc giới thiệu "A là B" ở thể lịch sự thân mật (해요체). Dùng 은/는 sau chủ ngữ. Dùng 이에요/예요 cuối câu.		
Lesson1	Grammar	2	Form			N(phụ âm cuối) + 은/는 + N(phụ âm cuối) + 이에요 | N(nguyên âm cuối) + 는 + N(nguyên âm cuối) + 예요		
Lesson1	Grammar	2	Usa			저는 = "tôi là" (lịch sự, dùng với người lạ hoặc người lớn tuổi hơn). 나는 = "tôi là" (thân mật, dùng với bạn bè).		
Lesson1	Grammar	2.1	Exam	저는 유진이에요.	Chơ-nưn yu-chin-i-ê-yô.	Tôi là Yujin.	https://luandai123.github.io/Korean_Beginner/L1Gr2.1.mp3	
Lesson1	Grammar	2.2	Exam	스티븐은 미국 사람이에요.	Sư-thi-bưn-ưn mi-guk sa-ra-mi-ê-yô.	Steven là người Mỹ.	https://luandai123.github.io/Korean_Beginner/L1Gr2.2.mp3	
Lesson1	Grammar	2.3	Exam	저는 나나예요.	Chơ-nưn na-na-yê-yô.	Tôi là Nana.	https://luandai123.github.io/Korean_Beginner/L1Gr2.3.mp3	
Lesson1	Grammar	2.4	Exam	스티븐은 학생이에요.	Sư-thi-bưn-ưn hak-seng-i-ê-yô.	Steven là học sinh.	https://luandai123.github.io/Korean_Beginner/L1Gr2.4.mp3	
Lesson1	Grammar	2.5	Exam	샤오밍 씨는 중국 사람이에요?	Sya-o-ming shi-nưn chung-guk sa-ra-mi-ê-yô?	Anh/Chị Xiaoming là người Trung Quốc à?	https://luandai123.github.io/Korean_Beginner/L1Gr2.5.mp3	
Lesson1	Grammar	3	Struc	N입니까?, N입니다 (Có phải là N không? / Là N)				
Lesson1	Grammar	3	Def			Cấu trúc "A là B" ở thể trang trọng (합쇼체). Lịch sự và trang trọng hơn hẳn 이에요/예요. Dùng trong môi trường công sở, gặp gỡ chính thức.		
Lesson1	Grammar	3	Form			N + 입니다 (câu khẳng định) | N + 입니까? (câu hỏi). Áp dụng cho mọi danh từ, không phân biệt kết thúc bằng phụ âm hay nguyên âm.		
Lesson1	Grammar	3	Usa			입니다/입니까? thường gặp trong: tin tức, thuyết trình, thư trang trọng, giới thiệu trước đám đông. Ngữ điệu câu hỏi 입니까? xuống thấp (không lên như tiếng Anh).		
Lesson1	Grammar	3.1	Exam	스티븐 씨는 미국 사람입니까?	Sư-thi-bưn shi-nưn mi-guk sa-ram-im-ni-kka?	Anh Steven có phải là người Mỹ không?	https://luandai123.github.io/Korean_Beginner/L1Gr3.1.mp3	
Lesson1	Grammar	3.2	Exam	네, 저는 미국 사람입니다.	Nê, chơ-nưn mi-guk sa-ram-im-ni-đa.	Vâng, tôi là người Mỹ.	https://luandai123.github.io/Korean_Beginner/L1Gr3.2.mp3	
Lesson1	Grammar	3.3	Exam	저는 최정우입니다.	Chơ-nưn chôi-chông-u-im-ni-đa.	Tôi là Choi Jeongwoo.	https://luandai123.github.io/Korean_Beginner/L1Gr3.3.mp3	
Lesson1	Grammar	3.4	Exam	스티븐 씨는 학생입니까? – 네, 저는 학생입니다.	Sư-thi-bưn shi-nưn hak-seng-im-ni-kka? – Nê, chơ-nưn hak-seng-im-ni-đa.	Anh Steven có phải là học sinh không? – Vâng, tôi là học sinh.	https://luandai123.github.io/Korean_Beginner/L1Gr3.4.mp3	
Lesson1	Grammar	4	Struc	N이/가 아닙니다 (Không phải là N)				
Lesson1	Grammar	4	Def			Phủ định trang trọng: "không phải là N". Tương đương N이/가 아니에요 nhưng trang trọng hơn. Dùng cùng ngữ cảnh với 입니다.		
Lesson1	Grammar	4	Form			N(phụ âm cuối) + 이 아닙니다 | N(nguyên âm cuối) + 가 아닙니다. Câu hỏi phủ định: 아닙니까?		
Lesson1	Grammar	4	Usa			Khi hỏi và câu trả lời là phủ định: "A입니까? – 아니요, A가 아닙니다. B입니다." (Không phải A, là B). Công thức đính chính rất thông dụng.		
Lesson1	Grammar	4.1	Exam	마이클 씨는 미국 사람입니까?	Ma-i-khưl shi-nưn mi-guk sa-ram-im-ni-kka?	Anh Michael có phải là người Mỹ không?	https://luandai123.github.io/Korean_Beginner/L1Gr4.1.mp3	
Lesson1	Grammar	4.2	Exam	아니요, 저는 미국 사람이 아닙니다. 영국 사람입니다.	A-ni-yô, chơ-nưn mi-guk sa-ra-mi a-nim-ni-đa. Yông-guk sa-ram-im-ni-đa.	Không, tôi không phải người Mỹ. Tôi là người Anh.	https://luandai123.github.io/Korean_Beginner/L1Gr4.2.mp3	
Lesson1	Grammar	4.3	Exam	마이클 씨는 의사가 아닙니다.	Ma-i-khưl shi-nưn ưi-sa-ga a-nim-ni-đa.	Anh Michael không phải là bác sĩ.	https://luandai123.github.io/Korean_Beginner/L1Gr4.3.mp3	
Lesson1	Grammar	4.4	Exam	저는 학생이 아닙니다. 선생님입니다.	Chơ-nưn hak-seng-i a-nim-ni-đa. Sơn-seng-nim-im-ni-đa.	Tôi không phải học sinh. Tôi là giáo viên.	https://luandai123.github.io/Korean_Beginner/L1Gr4.4.mp3	
Lesson1	Speaking	1	Struc	Gặp gỡ thân mật (만남 (가볍게))			https://luandai123.github.io/Korean_Beginner/L1Sp1.mp3	
Lesson1	Speaking	1.1	Exam	안녕하세요? 저는 나나예요.	An-nyơng-ha-sê-yô? Chơ-nưn na-na-yê-yô.	Xin chào! Tôi là Nana.	https://luandai123.github.io/Korean_Beginner/L1Sp1.1.mp3	
Lesson1	Speaking	1.2	Exam	안녕하세요? 저는 마이클이에요.	An-nyơng-ha-sê-yô? Chơ-nưn ma-i-khưl-i-ê-yô.	Xin chào! Tôi là Michael.	https://luandai123.github.io/Korean_Beginner/L1Sp1.2.mp3	
Lesson1	Speaking	1.3	Exam	만나서 반가워요, 마이클 씨.	Man-na-sơ ban-ga-uô-yô, ma-i-khưl shi.	Rất vui được gặp anh Michael.	https://luandai123.github.io/Korean_Beginner/L1Sp1.3.mp3	
Lesson1	Speaking	1.4	Exam	반가워요. 나나 씨는 어느 나라 사람이에요?	Ban-ga-uô-yô. Na-na shi-nưn ơ-nư na-ra sa-ra-mi-ê-yô?	Rất vui. Chị Nana là người nước nào?	https://luandai123.github.io/Korean_Beginner/L1Sp1.4.mp3	
Lesson1	Speaking	1.5	Exam	저는 중국 사람이에요.	Chơ-nưn chung-guk sa-ra-mi-ê-yô.	Tôi là người Trung Quốc.	https://luandai123.github.io/Korean_Beginner/L1Sp1.5.mp3	
Lesson1	Speaking	2	Struc	Gặp gỡ trang trọng (만남 (격식))			https://luandai123.github.io/Korean_Beginner/L1Sp2.mp3	
Lesson1	Speaking	2.1	Exam	여러분, 만나서 반갑습니다. 저는 마이클입니다.	Yơ-rơ-bun, man-na-sơ ban-gap-sưm-ni-đa. Chơ-nưn ma-i-khưl-im-ni-đa.	Mọi người, rất vui được gặp. Tôi là Michael.	https://luandai123.github.io/Korean_Beginner/L1Sp2.1.mp3	
Lesson1	Speaking	2.2	Exam	안녕하세요? 마이클 씨는 미국 사람입니까?	An-nyơng-ha-sê-yô? Ma-i-khưl shi-nưn mi-guk sa-ram-im-ni-kka?	Xin chào? Anh Michael có phải là người Mỹ không?	https://luandai123.github.io/Korean_Beginner/L1Sp2.2.mp3	
Lesson1	Speaking	2.3	Exam	아니요, 저는 미국 사람이 아닙니다. 영국 사람입니다.	A-ni-yô, chơ-nưn mi-guk sa-ra-mi a-nim-ni-đa. Yông-guk sa-ram-im-ni-đa.	Không, tôi không phải người Mỹ. Tôi là người Anh.	https://luandai123.github.io/Korean_Beginner/L1Sp2.3.mp3	
Lesson1	Speaking	2.4	Exam	아, 네. 직업은 무엇입니까?	A, nê. Chik-ơp-ưn mu-ơs-im-ni-kka?	À, vâng. Nghề nghiệp của anh là gì?	https://luandai123.github.io/Korean_Beginner/L1Sp2.4.mp3	
Lesson1	Speaking	2.5	Exam	기자입니다.	Ki-cha-im-ni-đa.	Tôi là phóng viên.	https://luandai123.github.io/Korean_Beginner/L1Sp2.5.mp3	
Lesson2	Subject	0	Subj	이거는 뭐예요? (Cái này là gì?)				
Lesson2	Vocabulary	1	Struc	Đồ dùng học tập (학용품)				
Lesson2	Vocabulary	1.1	Exam	책	Chaek	Sách	https://luandai123.github.io/Korean_Beginner/L2Vo1.1.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo1.1.png
Lesson2	Vocabulary	1.1.ex	Exam	이거는 한국어 책이에요.	I-gơ-nưn han-guk-ơ chaek-i-ê-yô.	Cái này là sách tiếng Hàn.	https://luandai123.github.io/Korean_Beginner/L2Vo1.1.ex.mp3	
Lesson2	Vocabulary	1.1.tip	Def			[MẸO] "책(冊)" = sách (Hán-Việt). Âm "chaek" ngắn, nhớ "chắc chắn học sách"!		
Lesson2	Vocabulary	1.2	Exam	공책	Gong-chaek	Vở	https://luandai123.github.io/Korean_Beginner/L2Vo1.2.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo1.2.png
Lesson2	Vocabulary	1.2.ex	Exam	공책이 있어요.	Gong-chaek-i it-sơ-yô.	Có quyển vở.	https://luandai123.github.io/Korean_Beginner/L2Vo1.2.ex.mp3	
Lesson2	Vocabulary	1.2.tip	Def			[MẸO] "공책(空冊)" = không sách (sách trắng chưa viết) → quyển vở!		
Lesson2	Vocabulary	1.3	Exam	볼펜	Bol-phên	Bút bi	https://luandai123.github.io/Korean_Beginner/L2Vo1.3.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo1.3.png
Lesson2	Vocabulary	1.3.ex	Exam	볼펜 있어요?	Bol-phên it-sơ-yô?	Bạn có bút bi không?	https://luandai123.github.io/Korean_Beginner/L2Vo1.3.ex.mp3	
Lesson2	Vocabulary	1.3.tip	Def			[MẸO] "볼펜" mượn từ "ball-pen" tiếng Anh. Đọc "bol-phên" là nhớ ngay ballpen!		
Lesson2	Vocabulary	1.4	Exam	연필	Yôn-phil	Bút chì	https://luandai123.github.io/Korean_Beginner/L2Vo1.4.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo1.4.png
Lesson2	Vocabulary	1.4.ex	Exam	연필 주세요.	Yôn-phil chu-sê-yô.	Cho tôi cây bút chì.	https://luandai123.github.io/Korean_Beginner/L2Vo1.4.ex.mp3	
Lesson2	Vocabulary	1.4.tip	Def			[MẸO] "연필(鉛筆)" = diên bút (Hán-Việt) → bút chì. "Diên" = chì!		
Lesson2	Vocabulary	1.5	Exam	지우개	Chi-u-gê	Cục tẩy	https://luandai123.github.io/Korean_Beginner/L2Vo1.5.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo1.5.png
Lesson2	Vocabulary	1.5.ex	Exam	지우개 좀 주세요.	Chi-u-gê chom chu-sê-yô.	Cho tôi mượn cục tẩy.	https://luandai123.github.io/Korean_Beginner/L2Vo1.5.ex.mp3	
Lesson2	Vocabulary	1.5.tip	Def			[MẸO] "chi-u" nghe như "chiu chiu" tay tẩy đi! 지우다 = xóa + 개 = đồ vật → đồ để xóa!		
Lesson2	Vocabulary	1.6	Exam	가방	Ka-bang	Cặp	https://luandai123.github.io/Korean_Beginner/L2Vo1.6.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo1.6.png
Lesson2	Vocabulary	1.6.ex	Exam	가방 안에 책이 있어요.	Ka-bang an-ê chaek-i it-sơ-yô.	Có sách trong túi.	https://luandai123.github.io/Korean_Beginner/L2Vo1.6.ex.mp3	
Lesson2	Vocabulary	1.6.tip	Def			[MẸO] "가방" nghe gần giống "cabang" (Malaysia) hay "cabas" (Pháp) — cùng gốc, dễ nhớ!		
Lesson2	Vocabulary	1.7	Exam	책상	Chaek-sang	Bàn học	https://luandai123.github.io/Korean_Beginner/L2Vo1.7.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo1.7.png
Lesson2	Vocabulary	1.7.ex	Exam	책상 위에 가방이 있어요.	Chaek-sang ui-ê ka-bang-i it-sơ-yô.	Có túi trên bàn học.	https://luandai123.github.io/Korean_Beginner/L2Vo1.7.ex.mp3	
Lesson2	Vocabulary	1.7.tip	Def			[MẸO] "책상(冊床)" = sách + giường → bàn để sách = bàn học!		
Lesson2	Vocabulary	1.8	Exam	의자	Ưi-cha	Ghế	https://luandai123.github.io/Korean_Beginner/L2Vo1.8.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo1.8.png
Lesson2	Vocabulary	1.8.ex	Exam	의자에 앉으세요.	Ưi-cha-ê an-jư-sê-yô.	Mời ngồi vào ghế.	https://luandai123.github.io/Korean_Beginner/L2Vo1.8.ex.mp3	
Lesson2	Vocabulary	1.8.tip	Def			[MẸO] "의자(椅子)" = ỷ tử (Hán-Việt: cái ghế). "Ỷ" = ghế → nhớ!		
Lesson2	Vocabulary	2	Struc	Đồ dùng hàng ngày (일상 생활용품)				
Lesson2	Vocabulary	2.1	Exam	시계	Shi-gyê	Đồng hồ	https://luandai123.github.io/Korean_Beginner/L2Vo2.1.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo2.1.png
Lesson2	Vocabulary	2.1.ex	Exam	시계가 있어요.	Shi-gyê-ga it-sơ-yô.	Có đồng hồ.	https://luandai123.github.io/Korean_Beginner/L2Vo2.1.ex.mp3	
Lesson2	Vocabulary	2.1.tip	Def			[MẸO] "시계(時計)" = thời kế (Hán-Việt: dụng cụ đo thời gian) → đồng hồ!		
Lesson2	Vocabulary	2.2	Exam	모자	Mo-cha	Mũ	https://luandai123.github.io/Korean_Beginner/L2Vo2.2.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo2.2.png
Lesson2	Vocabulary	2.2.ex	Exam	이거는 모자예요.	I-gơ-nưn mo-cha-yê-yô.	Cái này là cái mũ.	https://luandai123.github.io/Korean_Beginner/L2Vo2.2.ex.mp3	
Lesson2	Vocabulary	2.2.tip	Def			[MẸO] "모자(帽子)" = mạo tử (Hán-Việt). "Mạo" ≈ "mo" → cái mũ!		
Lesson2	Vocabulary	2.3	Exam	우산	U-san	Ô	https://luandai123.github.io/Korean_Beginner/L2Vo2.3.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo2.3.png
Lesson2	Vocabulary	2.3.ex	Exam	우산이 있어요?	U-san-i it-sơ-yô?	Bạn có ô không?	https://luandai123.github.io/Korean_Beginner/L2Vo2.3.ex.mp3	
Lesson2	Vocabulary	2.3.tip	Def			[MẸO] "우산(雨傘)" = vũ tán (Hán-Việt: ô mưa). "Vũ" = mưa, "tán" = che → che mưa!		
Lesson2	Vocabulary	2.4	Exam	신문	Shin-mun	Báo	https://luandai123.github.io/Korean_Beginner/L2Vo2.4.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo2.4.png
Lesson2	Vocabulary	2.4.ex	Exam	신문 있어요?	Shin-mun it-sơ-yô?	Có báo không?	https://luandai123.github.io/Korean_Beginner/L2Vo2.4.ex.mp3	
Lesson2	Vocabulary	2.4.tip	Def			[MẸO] "신문(新聞)" = tân văn (Hán-Việt: tin tức mới) → tờ báo. Tân văn = news!		
Lesson2	Vocabulary	2.5	Exam	카메라	Kha-mê-ra	Máy ảnh	https://luandai123.github.io/Korean_Beginner/L2Vo2.5.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo2.5.png
Lesson2	Vocabulary	2.5.ex	Exam	카메라가 있어요.	Kha-mê-ra-ga it-sơ-yô.	Có máy ảnh.	https://luandai123.github.io/Korean_Beginner/L2Vo2.5.ex.mp3	
Lesson2	Vocabulary	2.5.tip	Def			[MẸO] "카메라" mượn từ "camera" tiếng Anh. Đọc "kha-mê-ra" là nhận ra ngay!		
Lesson2	Vocabulary	2.6	Exam	사전	Sa-chôn	Từ điển	https://luandai123.github.io/Korean_Beginner/L2Vo2.6.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo2.6.png
Lesson2	Vocabulary	2.6.ex	Exam	한국어 사전이 있어요?	Han-guk-ơ sa-chôn-i it-sơ-yô?	Bạn có từ điển tiếng Hàn không?	https://luandai123.github.io/Korean_Beginner/L2Vo2.6.ex.mp3	
Lesson2	Vocabulary	2.6.tip	Def			[MẸO] "사전(辭典)" = từ điển (Hán-Việt: tự điển). Hán-Việt gần giống!		
Lesson2	Vocabulary	2.7	Exam	안경	An-gyông	Kính mắt	https://luandai123.github.io/Korean_Beginner/L2Vo2.7.mp3	https://luandai123.github.io/Korean_Beginner/L2Vo2.7.png
Lesson2	Vocabulary	2.7.ex	Exam	안경이 없어요.	An-gyông-i ôp-sơ-yô.	Không có kính mắt.	https://luandai123.github.io/Korean_Beginner/L2Vo2.7.ex.mp3	
